variation,column,true_count,false_count,true_percentage,false_percentage
Original,flagged,5104.0,8546.0,37.391941391941394,62.608058608058606
Original,harassment,1231.0,12419.0,9.018315018315018,90.98168498168498
Original,harassment/threatening,24.0,13626.0,0.1758241758241758,99.82417582417582
Original,hate,59.0,13591.0,0.43223443223443225,99.56776556776556
Original,hate/threatening,3.0,13647.0,0.021978021978021976,99.97802197802199
Original,self-harm,101.0,13549.0,0.73992673992674,99.26007326007326
Original,self-harm/intent,69.0,13581.0,0.5054945054945056,99.49450549450549
Original,self-harm/instructions,39.0,13611.0,0.2857142857142857,99.71428571428571
Original,sexual,47.0,13603.0,0.3443223443223443,99.65567765567765
Original,violence,572.0,13078.0,4.190476190476191,95.80952380952381
Original,violence/graphic,6.0,13644.0,0.04395604395604395,99.95604395604396
Original,illicit,3906.0,9744.0,28.615384615384613,71.38461538461539
Original,illicit/violent,653.0,12997.0,4.783882783882784,95.21611721611721
Without Always Answer,flagged,5209.0,8441.0,38.16117216117216,61.83882783882784
Without Always Answer,harassment,1215.0,12435.0,8.901098901098901,91.0989010989011
Without Always Answer,harassment/threatening,26.0,13624.0,0.19047619047619047,99.80952380952381
Without Always Answer,hate,62.0,13588.0,0.4542124542124542,99.54578754578755
Without Always Answer,hate/threatening,4.0,13646.0,0.029304029304029304,99.97069597069597
Without Always Answer,self-harm,96.0,13554.0,0.7032967032967032,99.2967032967033
Without Always Answer,self-harm/intent,70.0,13580.0,0.5128205128205128,99.48717948717949
Without Always Answer,self-harm/instructions,45.0,13605.0,0.32967032967032966,99.67032967032966
Without Always Answer,sexual,49.0,13601.0,0.358974358974359,99.64102564102564
Without Always Answer,violence,547.0,13103.0,4.007326007326007,95.992673992674
Without Always Answer,violence/graphic,5.0,13645.0,0.03663003663003663,99.96336996336996
Without Always Answer,illicit,4058.0,9592.0,29.728937728937726,70.27106227106226
Without Always Answer,illicit/violent,672.0,12978.0,4.923076923076923,95.07692307692308
Without Ignore Morality,flagged,4778.0,8872.0,35.00366300366301,64.996336996337
Without Ignore Morality,harassment,1411.0,12239.0,10.336996336996338,89.66300366300366
Without Ignore Morality,harassment/threatening,17.0,13633.0,0.12454212454212454,99.87545787545787
Without Ignore Morality,hate,56.0,13594.0,0.41025641025641024,99.58974358974359
Without Ignore Morality,hate/threatening,2.0,13648.0,0.014652014652014652,99.98534798534799
Without Ignore Morality,self-harm,69.0,13581.0,0.5054945054945056,99.49450549450549
Without Ignore Morality,self-harm/intent,54.0,13596.0,0.3956043956043956,99.6043956043956
Without Ignore Morality,self-harm/instructions,27.0,13623.0,0.1978021978021978,99.8021978021978
Without Ignore Morality,sexual,47.0,13603.0,0.3443223443223443,99.65567765567765
Without Ignore Morality,violence,506.0,13144.0,3.7069597069597067,96.29304029304029
