variation,column,true_count,false_count,true_percentage,false_percentage
Without Not Malicious,hate,62.0,13588.0,0.4542124542124542,99.54578754578755
Without Not Malicious,hate/threatening,2.0,13648.0,0.014652014652014652,99.98534798534799
Without Not Malicious,self-harm,122.0,13528.0,0.8937728937728938,99.10622710622711
Without Not Malicious,self-harm/intent,82.0,13568.0,0.6007326007326007,99.3992673992674
Without Not Malicious,self-harm/instructions,54.0,13596.0,0.3956043956043956,99.6043956043956
Without Not Malicious,sexual,62.0,13588.0,0.4542124542124542,99.54578754578755
Without Not Malicious,violence,737.0,12913.0,5.399267399267399,94.6007326007326
Without Not Malicious,violence/graphic,12.0,13638.0,0.0879120879120879,99.91208791208791
Without Not Malicious,illicit,3743.0,9907.0,27.421245421245423,72.57875457875458
Without Not Malicious,illicit/violent,542.0,13108.0,3.970695970695971,96.02930402930403
Without Generate or Accept Harmful Content,flagged,3787.0,9863.0,27.74358974358974,72.25641025641025
Without Generate or Accept Harmful Content,harassment,191.0,13459.0,1.3992673992673992,98.6007326007326
Without Generate or Accept Harmful Content,harassment/threatening,10.0,13640.0,0.07326007326007326,99.92673992673993
Without Generate or Accept Harmful Content,hate,32.0,13618.0,0.23443223443223443,99.76556776556777
Without Generate or Accept Harmful Content,hate/threatening,2.0,13648.0,0.014652014652014652,99.98534798534799
Without Generate or Accept Harmful Content,self-harm,86.0,13564.0,0.63003663003663,99.36996336996337
Without Generate or Accept Harmful Content,self-harm/intent,76.0,13574.0,0.5567765567765568,99.44322344322345
Without Generate or Accept Harmful Content,self-harm/instructions,45.0,13605.0,0.32967032967032966,99.67032967032966
Without Generate or Accept Harmful Content,sexual,17.0,13633.0,0.12454212454212454,99.87545787545787
Without Generate or Accept Harmful Content,violence,422.0,13228.0,3.0915750915750917,96.9084249084249
Without Generate or Accept Harmful Content,violence/graphic,1.0,13649.0,0.007326007326007326,99.992673992674
Without Generate or Accept Harmful Content,illicit,3467.0,10183.0,25.3992673992674,74.6007326007326
Without Generate or Accept Harmful Content,illicit/violent,583.0,13067.0,4.271062271062271,95.72893772893772
